index;age;gender;country;diploma;job;years_writting_code;most_recommended_langage;plateform_used_for_datascience;tpu_used;years_of_use_of_ml;company_size;how_many_ppl_work_on_ml;do_your_company_use_ml;salary;money_spent_in_ml;bigdata_product_used;bi_tool_used;tool_you_use_to_analyse_data
3354;25-29;Man;United States of America;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;2-5 times;2-3 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);90,000-99,999;$10,000-$99,999;Google Cloud SQL ;;Local development environments (RStudio, JupyterLab, etc.)
3355;22-24;Man;Israel;Master’s degree;Data Engineer;3-5 years;Python;A personal computer or laptop;Once;Under 1 year;;;;;;;;
3356;40-44;Man;Japan;Master’s degree;Data Analyst;10-20 years;Python;A personal computer or laptop;Never;1-2 years;10,000 or more employees;20+;We are exploring ML methods (and may one day put a model into production);60,000-69,999;$100-$999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3357;55-59;Man;Sweden;Master’s degree;Data Engineer;10-20 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;0-49 employees;0;No (we do not use ML methods);$0-999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
3358;35-39;Man;Australia;Doctoral degree;Data Scientist;10-20 years;Python;A personal computer or laptop;Never;4-5 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;$100,000 or more ($USD);Amazon Redshift ;Google Data Studio;Local development environments (RStudio, JupyterLab, etc.)
3359;18-21;Man;India;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Once;1-2 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3360;45-49;Man;United Kingdom of Great Britain and Northern Ireland;Doctoral degree;Data Engineer;5-10 years;None;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;3-4 years;10,000 or more employees;20+;No (we do not use ML methods);40,000-49,999;$0 ($USD);;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
3361;35-39;Man;Russia;Professional degree;Data Engineer;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;1-2 years;50-249 employees;1-2;We use ML methods for generating insights (but do not put working models into production);20,000-24,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3362;45-49;Man;India;Professional degree;Data Scientist;20+ years;Python;A personal computer or laptop;2-5 times;10-20 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;$100,000 or more ($USD);PostgresSQL ;Other;Local development environments (RStudio, JupyterLab, etc.)
3363;25-29;Man;Nigeria;Bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;3-4;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3364;35-39;Man;Taiwan;No formal education past high school;Machine Learning Engineer;3-5 years;Python;A personal computer or laptop;Never;3-4 years;10,000 or more employees;3-4;We use ML methods for generating insights (but do not put working models into production);70,000-79,999;$100-$999;MySQL ;;
3365;30-34;Man;Singapore;Bachelor’s degree;Data Analyst;5-10 years;Python;A personal computer or laptop;2-5 times;1-2 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);50,000-59,999;$100,000 or more ($USD);Microsoft Access ;Qlik;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3366;25-29;Man;Colombia;Some college/university study without earning a bachelor’s degree;Data Scientist;3-5 years;SQL;;;;;;;;;;;
3367;22-24;Man;United States of America;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Once;1-2 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
3368;30-34;Man;South Korea;No formal education past high school;Machine Learning Engineer;3-5 years;R;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;4-5 years;250-999 employees;5-9;We are exploring ML methods (and may one day put a model into production);30,000-39,999;$100-$999;Amazon Athena ;Tableau;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3369;25-29;Man;Spain;Master’s degree;Data Analyst;5-10 years;Python;A personal computer or laptop;Never;2-3 years;1000-9,999 employees;20+;We use ML methods for generating insights (but do not put working models into production);30,000-39,999;$10,000-$99,999;;;Local development environments (RStudio, JupyterLab, etc.)
3370;22-24;Man;India;Bachelor’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;50-249 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);4,000-4,999;$1000-$9,999;MongoDB ;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
3371;22-24;Man;Australia;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Once;2-3 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);1,000-1,999;$1-$99;Microsoft SQL Server ;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
3372;30-34;Man;France;Doctoral degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;3-4 years;10,000 or more employees;20+;We use ML methods for generating insights (but do not put working models into production);60,000-69,999;$100,000 or more ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3373;70+;Man;Canada;Bachelor’s degree;Data Scientist;20+ years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);5,000-7,499;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
3374;60-69;Man;Germany;Bachelor’s degree;Data Scientist;20+ years;Python;A personal computer or laptop;More than 25 times;20 or more years;50-249 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;$100,000 or more ($USD);;;
3375;30-34;Man;Other;Bachelor’s degree;Data Scientist;I have never written code;;;;;1000-9,999 employees;;;;;;;
3376;30-34;Woman;Switzerland;Master’s degree;Data Scientist;5-10 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Once;5-10 years;0-49 employees;1-2;We have well established ML methods (i.e., models in production for more than 2 years);10,000-14,999;;;;
3377;30-34;Man;Taiwan;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;0;No (we do not use ML methods);$0-999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
3378;45-49;Man;Japan;Bachelor’s degree;Machine Learning Engineer;20+ years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;1-2 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);60,000-69,999;$100-$999;Google Cloud BigQuery ;Tableau;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3379;25-29;Woman;Turkey;Master’s degree;Data Engineer;1-2 years;Python;Other;Never;2-3 years;0-49 employees;3-4;We use ML methods for generating insights (but do not put working models into production);1,000-1,999;$0 ($USD);;;
3380;25-29;Man;Germany;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;1-2 years;1000-9,999 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);60,000-69,999;$10,000-$99,999;;;Local development environments (RStudio, JupyterLab, etc.)
3381;35-39;Man;Portugal;Doctoral degree;Machine Learning Engineer;3-5 years;Python;A personal computer or laptop;2-5 times;5-10 years;250-999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);1,000-1,999;$100-$999;Oracle Database ;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
3382;35-39;Man;Germany;Doctoral degree;Data Scientist;10-20 years;Python;A personal computer or laptop;Never;4-5 years;1000-9,999 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);90,000-99,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3383;25-29;Man;India;Bachelor’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;I do not know;$0-999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3384;22-24;Man;India;Doctoral degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
3385;30-34;Man;United States of America;Doctoral degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;3-4 years;10,000 or more employees;20+;We use ML methods for generating insights (but do not put working models into production);90,000-99,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
3386;25-29;Man;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Machine Learning Engineer;5-10 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);2-5 times;4-5 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);90,000-99,999;$100,000 or more ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3387;35-39;Man;Israel;Master’s degree;Data Scientist;5-10 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;2-3 years;;;;;;;;
3388;18-21;Woman;India;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;2-5 times;1-2 years;0-49 employees;0;I do not know;$0-999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3389;25-29;Man;India;Bachelor’s degree;Machine Learning Engineer;5-10 years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;1-2;We have well established ML methods (i.e., models in production for more than 2 years);15,000-19,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
3390;45-49;Man;Russia;No formal education past high school;Machine Learning Engineer;20+ years;Python;A personal computer or laptop;6-25 times;20 or more years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);5,000-7,499;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
3391;25-29;Man;Poland;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;2-5 times;1-2 years;250-999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);25,000-29,999;$100,000 or more ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
3392;30-34;Woman;Pakistan;Doctoral degree;Machine Learning Engineer;I have never written code;;;;;50-249 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);;;;;
3393;40-44;Man;United States of America;Master’s degree;Data Engineer;10-20 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);100,000-124,999;$10,000-$99,999;Google Cloud BigQuery ;Google Data Studio;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
3394;18-21;Woman;India;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;
3395;35-39;Man;United States of America;Doctoral degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Once;3-4 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;$1000-$9,999;Google Cloud BigQuery ;Other;Local development environments (RStudio, JupyterLab, etc.)
3396;25-29;Man;Russia;Doctoral degree;Machine Learning Engineer;10-20 years;Julia;A personal computer or laptop;2-5 times;1-2 years;250-999 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);15,000-19,999;$10,000-$99,999;;;Local development environments (RStudio, JupyterLab, etc.)
3397;30-34;Man;India;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;3-4;We are exploring ML methods (and may one day put a model into production);25,000-29,999;$1000-$9,999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
3398;50-54;Man;United States of America;Master’s degree;Data Scientist;20+ years;Python;A personal computer or laptop;Once;5-10 years;1000-9,999 employees;10-14;We recently started using ML methods (i.e., models in production for less than 2 years);200,000-249,999;$100,000 or more ($USD);Other;;Local development environments (RStudio, JupyterLab, etc.)
